Año,Temperatura_base,Emisiones_base,Mitigacion_base,PrecioC_base,Temperatura_mod,Emisiones_mod,Mitigacion_mod,PrecioC_mod
0,1.247154,37.28549173888298,0.051290247626421315,5.999999952207044,1.247154,32.318766266552856,0.17766596840169524,43.79881589960596
5,1.4289253737743424,39.87929490438878,0.05716346961844099,6.788449306153144,1.3742527323906812,16.912624254190757,0.1949980646148456,48.35365761919519
10,1.5702262984315833,42.39124529341513,0.06370923102107773,7.680507302574272,1.4431512679677092,14.448882521062208,0.21418298142109848,53.44684342642484
15,1.7017243541092018,44.8348480105683,0.07100454440860238,8.689789045961223,1.4924319748268582,12.396480211860263,0.23528334461565137,59.087728879159684
20,1.8322753795399542,47.216367170057346,0.07913524061819732,9.831698699476345,1.534954800750373,11.36577961607684,0.2583277048453412,65.26949520697525
25,1.9643321835751422,49.53844136367601,0.0881969789347391,11.12366465980958,1.5741894054983299,10.450653686788485,0.28330260073018876,71.96525214082989
30,2.098452041210163,51.800794008209515,0.09829637254169299,12.585405558103982,1.6109875362322654,9.579518816839894,0.31014545763128376,79.12466947830826
35,2.2349679954633115,54.18403479469172,0.10651401141183514,14.239231214343228,1.64553769983446,8.758324147099605,0.3387391807355843,90.6609883274965
40,2.373933445275646,56.55588660240397,0.11541865008380281,16.110383144614516,1.6778851060941897,7.994139344679469,0.3689093343898743,103.40361331004502
45,2.515238868309315,58.91864317242297,0.1250677221752039,18.22741980622563,1.7080619977590756,7.290114205674419,0.40042469943845205,117.30760956224275
50,2.658729721943558,61.27232504866864,0.13552346279035554,20.62265247232167,1.7361154950165594,6.6463009226755885,0.4330017448619382,132.28322482682643
55,2.804234867028615,63.61439332372524,0.14685330992760937,23.332638382707756,1.7621105937876202,6.060751401046289,0.466313149182761,148.19519621331543
60,2.951570785803788,65.93943602402142,0.159130339444582,26.39873869873997,1.786128437611624,5.530301341349306,0.500000009991872,164.86573967719335
65,3.1005388688370052,68.2388195075797,0.17243373638675286,29.867749778071275,1.808264497509389,5.051121276765831,0.5336868708010206,182.08130291041553
70,3.25092050413738,70.50028827366759,0.18684930571943104,33.792617404083735,1.8286272406527333,4.619093175520846,0.5669982751219549,199.60261657179902
75,3.40247131955206,72.70748921124805,0.20247002575723616,38.23324487093402,1.8473369696696986,4.230060558301621,0.599575320545622,217.17707250533255
80,3.5549150116057096,74.83938410936821,0.21939664786063695,43.257407257611035,1.8645244660542477,3.8799905889929596,0.631090685594444,234.55210642941447
85,3.701525290892838,76.86949190737786,0.23773834626658652,48.94178584481386,1.8739671516052065,3.5651234625396633,0.6612608392490111,251.48814580373198
90,3.8455091032190927,78.76931707935717,0.2576134222491795,55.37313846393278,1.8798504336797488,3.287156919558016,0.6898545623536445,267.76981927979347
95,3.9876570651793912,80.50075970920207,0.27915006714273893,62.649623637611064,1.883710162533489,3.080036801947429,0.7166974192552067,283.2144661878971
100,4.12800192454359,82.01736911583393,0.30248718915812345,70.88229872453009,1.8861418796746245,2.8828749883712277,0.7416723151405227,297.67744150224075
105,4.266301850097349,83.26377302089836,0.32777530932038224,80.19681493240269,1.8874702142188589,2.697054052098718,0.764716675370703,311.0541784578795
110,4.402181233475453,84.17435405373718,0.3551775323073588,90.73533506959345,1.8879319849596452,2.523565370652905,0.7858170385659923,323.2793590904296
115,4.535170329907347,84.67147973165577,0.38487059845101823,102.65870330505207,1.8877256428231928,2.363037010504022,0.8050019553729512,334.32380006091455
120,4.6647132502263675,84.66329260836662,0.4170460236867456,116.14890005252171,1.887024282396791,2.215774348453299,0.8223340515816094,344.18977485644996
125,4.7901637513805895,84.04095942251857,0.4519113348031303,131.41181944669455,1.8859790778348828,2.0818079917946024,0.8379019876235488,352.90548327419765
130,4.910773599496678,82.67522126638374,0.48969140795941113,148.68041180254502,1.8847205223920525,1.960944297743008,0.8518128709163512,360.51928213840296
135,5.025673824939799,80.412038672778,0.530629919103825,168.218239019628,1.8833594365099413,1.8528147864912152,0.8641854915833859,367.0941484507149
140,5.133841368546668,77.06019022175812,0.5749909156478268,190.32349719569135,1.8819878350621932,1.756764805255284,0.8751445831482373,372.70269267508286
145,5.234009684453135,72.33359669244498,0.6230605195331214,215.33356784467162,1.8806772637248388,1.6707144653700763,0.8848161731675792,377.4229000261477
150,5.324679829285698,65.98556799739771,0.6751487726767522,243.63016718242582,1.879484157179553,1.5943073864200723,0.8933239895418208,381.33466476978185
155,5.404069249000194,57.72254331715631,0.7315916366959216,275.64517207056105,1.878452097100002,1.527089780739162,0.9007868244989381,384.51710089519963
160,5.4700233123101665,47.19593761417858,0.7927531598113018,311.86721153724784,1.877613477318521,1.4685428222450025,0.9073167241336367,387.0465602347001
165,5.51988948785327,33.99598858370864,0.8590278249048247,352.8491244780012,1.8769910536856937,1.4181092094980876,0.9130178596131852,388.99526109707404
170,5.55034521299117,17.653411480762884,0.9308430938765898,399.21639735959184,1.8765994237492534,1.3752143479007717,0.9179859396483827,390.4304205671676
175,5.559124879369821,-2.6278481088256624e-6,1.000000009738423,445.48648789336903,1.8764464097318672,1.3392827523525483,0.922308036572469,391.4137859181386
180,5.56037432480817,-2.7711527650620413e-6,1.0000000097406507,443.264614767202,1.8765343194573714,1.3097503447353953,0.9260627157748648,392.00147018155354
185,5.561553749994232,-2.919247761325265e-6,1.0000000097420167,441.053823278867,1.8768610712819966,1.2860733229289818,0.9293203770751585,392.2440101279872
190,5.564508216390848,-3.077083243093957e-6,1.0000000097431199,438.85405815889106,1.8774211789571886,1.267734236392022,0.9321437348336445,392.1865791772696
195,5.5694891826096,-3.237676624727213e-6,1.0000000097432362,436.6652644125292,1.8782065993757537,1.2542458362053583,0.9345883800102878,391.86930148251054
200,5.576322889689862,-3.4017891162238997e-6,1.0000000097424346,434.4873873198814,1.879207450796158,1.2451531922118215,0.9367033814706212,391.3276257305933
205,5.584746118060216,-3.569967646326746e-6,1.0000000097407307,432.3203724339278,1.8804126119765192,1.2400344905309342,0.9385318954769866,390.5927276868964
210,5.594499454393023,-3.7426041137574685e-6,1.0000000097381019,430.1641655791769,1.8818102141532607,1.2385008524299683,0.9401117616272694,389.6919191161868
215,5.605350379976893,-3.919974196443055e-6,1.0000000097344943,428.01871285031774,1.8833880383364858,1.2401954493479896,0.9414760707711646,388.6490475539642
220,5.617096434906346,-4.102263956959141e-6,1.0000000097298292,425.8839606108766,1.885133830251591,1.2447921319281006,0.9426536959571814,387.48487669570034
225,5.629563061253543,-4.289589521297728e-6,1.0000000097240105,423.75985549188186,1.8870355446608014,1.251993742789063,0.9436697815556359,386.21744116147124
230,5.642600321984503,-4.482016516478234e-6,1.000000009716942,421.6463443905415,1.88908152991933,1.2615302430140838,0.9445461886528086,384.8623723237959
235,5.656079661280103,-4.679592002600238e-6,1.0000000097085762,419.5433744689484,1.8912606625889377,1.2731567500697325,0.9453018968711321,383.4331939782722
240,5.669890994740823,-4.882820396821336e-6,1.0000000096998358,417.4508931533744,1.8935624408391327,1.2866515590638832,0.9459533641505851,381.94158808035405
245,5.683940169036294,-5.091555318667398e-6,1.000000009690294,415.3688481313972,1.8959770442782,1.3018141990426364,0.9465148468989234,380.3976317252854
250,5.698146764191527,-5.305795457040692e-6,1.000000009679888,413.297187351749,1.89849536681626,1.318463559918167,0.9469986834189484,378.8100071389147
